0, ML, 0, OFFSET, 683498
1, ML, 0, OFFSET, 367417
2, ML, 0, OFFSET, 291796
3, ML, 0, OFFSET, 266219
4, ML, 149481, OFFSET, 220291
5, ML, 814465, OFFSET, 191806
6, ML, 493743, OFFSET, 176344
7, ML, 385986, OFFSET, 183490
8, ML, 533060, OFFSET, 150218
9, ML, 396388, OFFSET, 138965
10, ML, 337466, OFFSET, 133842
11, ML, 277114, OFFSET, 139302
12, ML, 221321, OFFSET, 115132
13, ML, 165428, OFFSET, 108175
14, ML, 222947, OFFSET, 122172
15, ML, 203394, OFFSET, 103350
16, ML, 130994, OFFSET, 95053
17, ML, 102863, OFFSET, 92860
18, ML, 120154, OFFSET, 106995
19, ML, 114673, OFFSET, 85646
20, ML, 139161, OFFSET, 80722
21, ML, 148270, OFFSET, 80994
22, ML, 96004, OFFSET, 92210
23, ML, 95504, OFFSET, 73604
24, ML, 64158, OFFSET, 70283
25, ML, 46167, OFFSET, 77317
26, ML, 51612, OFFSET, 72190
27, ML, 41265, OFFSET, 64054
28, ML, 36748, OFFSET, 62621
29, ML, 28945, OFFSET, 74569
30, ML, 59012, OFFSET, 60275
31, ML, 38079, OFFSET, 56906
32, ML, 28442, OFFSET, 56684
33, ML, 18922, OFFSET, 67062
34, ML, 22184, OFFSET, 52812
35, ML, 20042, OFFSET, 51440
36, ML, 17034, OFFSET, 53687
37, ML, 14754, OFFSET, 58490
38, ML, 18625, OFFSET, 47717
39, ML, 15656, OFFSET, 46444
40, ML, 11912, OFFSET, 56031
41, ML, 16090, OFFSET, 46624
42, ML, 41787, OFFSET, 43856
43, ML, 33093, OFFSET, 43171
44, ML, 16146, OFFSET, 52190
45, ML, 12024, OFFSET, 41864
46, ML, 9100, OFFSET, 40517
47, ML, 6763, OFFSET, 40706
48, ML, 9866, OFFSET, 48379
49, ML, 5166, OFFSET, 38357
50, ML, 10357, OFFSET, 37277
51, ML, 7783, OFFSET, 44297
52, ML, 11941, OFFSET, 39037
53, ML, 8538, OFFSET, 35226
54, ML, 6380, OFFSET, 35023
55, ML, 8810, OFFSET, 42466
56, ML, 12289, OFFSET, 34394
57, ML, 13386, OFFSET, 33190
58, ML, 23977, OFFSET, 32781
59, ML, 29191, OFFSET, 39147
60, ML, 47112, OFFSET, 31674
61, ML, 29233, OFFSET, 30793
62, ML, 9565, OFFSET, 37548
63, ML, 5201, OFFSET, 38453
64, ML, 2976, OFFSET, 35832
65, ML, 4361, OFFSET, 29124
66, ML, 4434, OFFSET, 34496
67, ML, 4378, OFFSET, 29438
68, ML, 3265, OFFSET, 27652
69, ML, 9066, OFFSET, 27799
70, ML, 5302, OFFSET, 33446
71, ML, 3145, OFFSET, 27285
72, ML, 2697, OFFSET, 26702
73, ML, 1414, OFFSET, 27530
74, ML, 1824, OFFSET, 31747
75, ML, 1177, OFFSET, 24975
76, ML, 1393, OFFSET, 25034
77, ML, 963, OFFSET, 28565
78, ML, 1825, OFFSET, 25731
79, ML, 1389, OFFSET, 25570
80, ML, 2076, OFFSET, 24119
81, ML, 1359, OFFSET, 28024
82, ML, 1847, OFFSET, 24094
83, ML, 851, OFFSET, 23003
84, ML, 826, OFFSET, 22929
85, ML, 796, OFFSET, 26664
86, ML, 2220, OFFSET, 21852
87, ML, 2145, OFFSET, 21513
88, ML, 1951, OFFSET, 22802
89, ML, 1195, OFFSET, 25252
90, ML, 1541, OFFSET, 21490
91, ML, 912, OFFSET, 20736
92, ML, 500, OFFSET, 24159
93, ML, 521, OFFSET, 21196
94, ML, 1261, OFFSET, 20316
95, ML, 897, OFFSET, 20070
96, ML, 757, OFFSET, 23357
97, ML, 446, OFFSET, 19547
98, ML, 606, OFFSET, 19975
99, ML, 433, OFFSET, 19634
100, ML, 448, OFFSET, 21846
101, ML, 267, OFFSET, 19195
102, ML, 673, OFFSET, 18412
103, ML, 575, OFFSET, 20620
104, ML, 636, OFFSET, 19303
105, ML, 374, OFFSET, 18057
106, ML, 468, OFFSET, 17846
107, ML, 406, OFFSET, 20558
108, ML, 401, OFFSET, 17646
109, ML, 570, OFFSET, 17293
110, ML, 976, OFFSET, 19803
111, ML, 705, OFFSET, 19794
112, ML, 523, OFFSET, 22547
113, ML, 341, OFFSET, 16499
114, ML, 462, OFFSET, 17249
115, ML, 272, OFFSET, 18081
116, ML, 338, OFFSET, 16110
117, ML, 216, OFFSET, 16044
118, ML, 317, OFFSET, 18260
119, ML, 284, OFFSET, 16341
120, ML, 295, OFFSET, 15941
121, ML, 185, OFFSET, 15736
122, ML, 297, OFFSET, 17853
123, ML, 176, OFFSET, 15455
124, ML, 201, OFFSET, 14948
125, ML, 220, OFFSET, 15314
126, ML, 289, OFFSET, 17111
127, ML, 307, OFFSET, 16795
128, ML, 696, OFFSET, 18657
129, ML, 293, OFFSET, 16108
130, ML, 541, OFFSET, 15141
131, ML, 715, OFFSET, 14400
132, ML, 507, OFFSET, 14349
133, ML, 377, OFFSET, 15825
134, ML, 500, OFFSET, 14234
135, ML, 193, OFFSET, 13695
136, ML, 244, OFFSET, 13754
137, ML, 151, OFFSET, 15581
138, ML, 465, OFFSET, 13462
139, ML, 290, OFFSET, 13765
140, ML, 716, OFFSET, 13804
141, ML, 194, OFFSET, 14064
142, ML, 380, OFFSET, 13268
143, ML, 166, OFFSET, 13184
144, ML, 195, OFFSET, 14715
145, ML, 106, OFFSET, 13443
146, ML, 310, OFFSET, 12488
147, ML, 128, OFFSET, 12481
148, ML, 141, OFFSET, 13808
149, ML, 148, OFFSET, 12248
150, ML, 243, OFFSET, 12082
151, ML, 142, OFFSET, 12155
152, ML, 228, OFFSET, 13646
153, ML, 209, OFFSET, 11957
154, ML, 437, OFFSET, 12389
155, ML, 231, OFFSET, 12478
156, ML, 121, OFFSET, 12361
157, ML, 98, OFFSET, 11849
158, ML, 183, OFFSET, 11831
159, ML, 190, OFFSET, 12424
160, ML, 443, OFFSET, 11944
161, ML, 93, OFFSET, 11491
162, ML, 216, OFFSET, 11370
163, ML, 191, OFFSET, 12465
164, ML, 103, OFFSET, 11301
165, ML, 101, OFFSET, 11326
166, ML, 163, OFFSET, 12295
167, ML, 119, OFFSET, 11416
168, ML, 244, OFFSET, 10951
169, ML, 111, OFFSET, 10932
170, ML, 114, OFFSET, 11550
171, ML, 126, OFFSET, 10695
172, ML, 119, OFFSET, 10955
173, ML, 98, OFFSET, 10170
174, ML, 167, OFFSET, 11520
175, ML, 193, OFFSET, 10176
176, ML, 453, OFFSET, 10528
177, ML, 177, OFFSET, 10057
178, ML, 109, OFFSET, 10670
179, ML, 78, OFFSET, 9826
180, ML, 95, OFFSET, 9803
181, ML, 107, OFFSET, 10674
182, ML, 402, OFFSET, 10460
183, ML, 121, OFFSET, 9624
184, ML, 187, OFFSET, 9588
185, ML, 99, OFFSET, 10363
186, ML, 150, OFFSET, 9402
187, ML, 97, OFFSET, 9347
188, ML, 121, OFFSET, 9468
189, ML, 84, OFFSET, 10355
190, ML, 96, OFFSET, 9446
191, ML, 84, OFFSET, 10353
192, ML, 178, OFFSET, 12518
193, ML, 78, OFFSET, 9671
194, ML, 143, OFFSET, 9314
195, ML, 86, OFFSET, 9103
196, ML, 119, OFFSET, 9641
197, ML, 232, OFFSET, 8924
198, ML, 345, OFFSET, 9162
199, ML, 201, OFFSET, 8829
200, ML, 334, OFFSET, 9364
201, ML, 230, OFFSET, 8844
202, ML, 159, OFFSET, 8720
203, ML, 98, OFFSET, 8768
204, ML, 65, OFFSET, 9376
205, ML, 50, OFFSET, 8479
206, ML, 158, OFFSET, 8474
207, ML, 69, OFFSET, 8960
208, ML, 247, OFFSET, 8669
209, ML, 108, OFFSET, 8191
210, ML, 343, OFFSET, 8135
211, ML, 89, OFFSET, 8658
212, ML, 140, OFFSET, 8310
213, ML, 81, OFFSET, 8079
214, ML, 79, OFFSET, 8092
215, ML, 66, OFFSET, 8685
216, ML, 104, OFFSET, 7884
217, ML, 51, OFFSET, 8041
218, ML, 77, OFFSET, 8095
219, ML, 192, OFFSET, 8088
220, ML, 145, OFFSET, 7777
221, ML, 110, OFFSET, 7748
222, ML, 132, OFFSET, 8042
223, ML, 96, OFFSET, 8056
224, ML, 69, OFFSET, 7831
225, ML, 36, OFFSET, 8999
226, ML, 96, OFFSET, 8064
227, ML, 76, OFFSET, 7363
228, ML, 61, OFFSET, 7727
229, ML, 46, OFFSET, 7553
230, ML, 66, OFFSET, 7446
231, ML, 82, OFFSET, 7013
232, ML, 80, OFFSET, 7080
233, ML, 35, OFFSET, 7496
234, ML, 52, OFFSET, 7127
235, ML, 57, OFFSET, 7175
236, ML, 51, OFFSET, 6897
237, ML, 64, OFFSET, 7195
238, ML, 77, OFFSET, 7150
239, ML, 38, OFFSET, 6801
240, ML, 63, OFFSET, 6847
241, ML, 111, OFFSET, 7101
242, ML, 88, OFFSET, 6787
243, ML, 88, OFFSET, 6661
244, ML, 40, OFFSET, 6997
245, ML, 42, OFFSET, 6729
246, ML, 50, OFFSET, 6761
247, ML, 63, OFFSET, 6507
248, ML, 78, OFFSET, 6987
249, ML, 34, OFFSET, 6866
250, ML, 36, OFFSET, 6468
251, ML, 55, OFFSET, 6775
252, ML, 52, OFFSET, 6962
253, ML, 56, OFFSET, 6641
254, ML, 62, OFFSET, 6335
255, ML, 44, OFFSET, 7202
256, ML, 89, OFFSET, 8403
257, ML, 41, OFFSET, 6513
258, ML, 120, OFFSET, 6559
259, ML, 44, OFFSET, 6680
260, ML, 141, OFFSET, 6197
261, ML, 39, OFFSET, 6197
262, ML, 292, OFFSET, 6248
263, ML, 180, OFFSET, 6415
264, ML, 366, OFFSET, 6217
265, ML, 121, OFFSET, 6116
266, ML, 508, OFFSET, 6032
267, ML, 151, OFFSET, 6363
268, ML, 521, OFFSET, 6123
269, ML, 166, OFFSET, 5966
270, ML, 797, OFFSET, 5979
271, ML, 255, OFFSET, 6263
272, ML, 759, OFFSET, 6075
273, ML, 176, OFFSET, 5724
274, ML, 1051, OFFSET, 6318
275, ML, 287, OFFSET, 5809
276, ML, 1037, OFFSET, 5854
277, ML, 328, OFFSET, 5764
278, ML, 1098, OFFSET, 6062
279, ML, 393, OFFSET, 5842
280, ML, 806, OFFSET, 5852
281, ML, 235, OFFSET, 6112
282, ML, 537, OFFSET, 5807
283, ML, 134, OFFSET, 5718
284, ML, 300, OFFSET, 5674
285, ML, 144, OFFSET, 5923
286, ML, 235, OFFSET, 5464
287, ML, 83, OFFSET, 5697
288, ML, 91, OFFSET, 5474
289, ML, 30, OFFSET, 6212
290, ML, 35, OFFSET, 5417
291, ML, 22, OFFSET, 5328
292, ML, 32, OFFSET, 5477
293, ML, 15, OFFSET, 5556
294, ML, 28, OFFSET, 5445
295, ML, 20, OFFSET, 5304
296, ML, 23, OFFSET, 5429
297, ML, 23, OFFSET, 5368
298, ML, 40, OFFSET, 5494
299, ML, 18, OFFSET, 5311
300, ML, 16, OFFSET, 5478
