0, ML, 0, OFFSET, 560191
1, ML, 0, OFFSET, 318944
2, ML, 0, OFFSET, 270303
3, ML, 0, OFFSET, 238914
4, ML, 137322, OFFSET, 209787
5, ML, 106945, OFFSET, 183311
6, ML, 547075, OFFSET, 165639
7, ML, 442497, OFFSET, 154778
8, ML, 340627, OFFSET, 139013
9, ML, 276935, OFFSET, 130505
10, ML, 244701, OFFSET, 120658
11, ML, 200441, OFFSET, 113647
12, ML, 168982, OFFSET, 106856
13, ML, 124863, OFFSET, 100182
14, ML, 179444, OFFSET, 97576
15, ML, 169766, OFFSET, 91938
16, ML, 118625, OFFSET, 89756
17, ML, 94373, OFFSET, 84492
18, ML, 117099, OFFSET, 83285
19, ML, 105289, OFFSET, 77169
20, ML, 148954, OFFSET, 73942
21, ML, 127851, OFFSET, 71877
22, ML, 73737, OFFSET, 68952
23, ML, 70482, OFFSET, 66697
24, ML, 51535, OFFSET, 63524
25, ML, 35583, OFFSET, 61305
26, ML, 43987, OFFSET, 58605
27, ML, 41837, OFFSET, 57452
28, ML, 34867, OFFSET, 55297
29, ML, 24576, OFFSET, 54565
30, ML, 52122, OFFSET, 52437
31, ML, 31324, OFFSET, 50994
32, ML, 25374, OFFSET, 49523
33, ML, 16754, OFFSET, 48579
34, ML, 22955, OFFSET, 46441
35, ML, 19367, OFFSET, 45482
36, ML, 17892, OFFSET, 44666
37, ML, 14024, OFFSET, 43890
38, ML, 17320, OFFSET, 41653
39, ML, 14808, OFFSET, 40147
40, ML, 10602, OFFSET, 41061
41, ML, 16019, OFFSET, 39028
42, ML, 40555, OFFSET, 38512
43, ML, 29793, OFFSET, 37397
44, ML, 13607, OFFSET, 37271
45, ML, 8666, OFFSET, 35171
46, ML, 8896, OFFSET, 35053
47, ML, 6387, OFFSET, 34196
48, ML, 8942, OFFSET, 35122
49, ML, 5310, OFFSET, 32657
50, ML, 11938, OFFSET, 31904
51, ML, 11865, OFFSET, 33500
52, ML, 11158, OFFSET, 30611
53, ML, 9170, OFFSET, 30297
54, ML, 7880, OFFSET, 29685
55, ML, 7690, OFFSET, 30080
56, ML, 8856, OFFSET, 29229
57, ML, 12275, OFFSET, 28079
58, ML, 17846, OFFSET, 26964
59, ML, 35264, OFFSET, 27534
60, ML, 43241, OFFSET, 26579
61, ML, 30120, OFFSET, 25980
62, ML, 9098, OFFSET, 25601
63, ML, 6018, OFFSET, 27136
64, ML, 3520, OFFSET, 27194
65, ML, 4280, OFFSET, 25263
66, ML, 4703, OFFSET, 24479
67, ML, 3574, OFFSET, 23623
68, ML, 5173, OFFSET, 23165
69, ML, 9258, OFFSET, 22868
70, ML, 5305, OFFSET, 23265
71, ML, 3158, OFFSET, 22407
72, ML, 2463, OFFSET, 21836
73, ML, 1209, OFFSET, 22197
74, ML, 1834, OFFSET, 22139
75, ML, 1280, OFFSET, 20249
76, ML, 1343, OFFSET, 20710
77, ML, 919, OFFSET, 20736
78, ML, 1763, OFFSET, 21321
79, ML, 1262, OFFSET, 19906
80, ML, 2027, OFFSET, 19439
81, ML, 1458, OFFSET, 19981
82, ML, 1698, OFFSET, 19127
83, ML, 840, OFFSET, 18787
84, ML, 907, OFFSET, 18058
85, ML, 697, OFFSET, 18595
86, ML, 2049, OFFSET, 17373
87, ML, 2040, OFFSET, 17249
88, ML, 1655, OFFSET, 17443
89, ML, 769, OFFSET, 17808
90, ML, 1465, OFFSET, 17450
91, ML, 844, OFFSET, 16772
92, ML, 526, OFFSET, 16873
93, ML, 458, OFFSET, 21077
94, ML, 1115, OFFSET, 16295
95, ML, 848, OFFSET, 15859
96, ML, 687, OFFSET, 16202
97, ML, 467, OFFSET, 15284
98, ML, 578, OFFSET, 15690
99, ML, 377, OFFSET, 15231
100, ML, 444, OFFSET, 15161
101, ML, 280, OFFSET, 15064
102, ML, 756, OFFSET, 14412
103, ML, 709, OFFSET, 14458
104, ML, 555, OFFSET, 14425
105, ML, 428, OFFSET, 14143
106, ML, 405, OFFSET, 13991
107, ML, 359, OFFSET, 14100
108, ML, 422, OFFSET, 13345
109, ML, 531, OFFSET, 13332
110, ML, 738, OFFSET, 16727
111, ML, 498, OFFSET, 13935
112, ML, 490, OFFSET, 18883
113, ML, 336, OFFSET, 12800
114, ML, 428, OFFSET, 12639
115, ML, 247, OFFSET, 12553
116, ML, 351, OFFSET, 12159
117, ML, 226, OFFSET, 12343
118, ML, 316, OFFSET, 12658
119, ML, 276, OFFSET, 11957
120, ML, 266, OFFSET, 12041
121, ML, 129, OFFSET, 11871
122, ML, 248, OFFSET, 12530
123, ML, 151, OFFSET, 11808
124, ML, 205, OFFSET, 11541
125, ML, 235, OFFSET, 11308
126, ML, 278, OFFSET, 11757
127, ML, 242, OFFSET, 12820
128, ML, 624, OFFSET, 12435
129, ML, 264, OFFSET, 11499
130, ML, 503, OFFSET, 11037
131, ML, 597, OFFSET, 10852
132, ML, 355, OFFSET, 10700
133, ML, 282, OFFSET, 10859
134, ML, 520, OFFSET, 10341
135, ML, 189, OFFSET, 10257
136, ML, 207, OFFSET, 10063
137, ML, 126, OFFSET, 10783
138, ML, 377, OFFSET, 10274
139, ML, 240, OFFSET, 10197
140, ML, 685, OFFSET, 10093
141, ML, 184, OFFSET, 9679
142, ML, 344, OFFSET, 9789
143, ML, 172, OFFSET, 9762
144, ML, 190, OFFSET, 9834
145, ML, 111, OFFSET, 9700
146, ML, 327, OFFSET, 9179
147, ML, 151, OFFSET, 9283
148, ML, 133, OFFSET, 9827
149, ML, 133, OFFSET, 9031
150, ML, 262, OFFSET, 8916
151, ML, 159, OFFSET, 8877
152, ML, 191, OFFSET, 9256
153, ML, 197, OFFSET, 8510
154, ML, 371, OFFSET, 8631
155, ML, 140, OFFSET, 8647
156, ML, 114, OFFSET, 8672
157, ML, 108, OFFSET, 8264
158, ML, 171, OFFSET, 8345
159, ML, 131, OFFSET, 8625
160, ML, 315, OFFSET, 8688
161, ML, 76, OFFSET, 8246
162, ML, 213, OFFSET, 7926
163, ML, 185, OFFSET, 8505
164, ML, 122, OFFSET, 7895
165, ML, 101, OFFSET, 7768
166, ML, 123, OFFSET, 8351
167, ML, 111, OFFSET, 7910
168, ML, 220, OFFSET, 7625
169, ML, 94, OFFSET, 7407
170, ML, 115, OFFSET, 8001
