0, ML, 90, OFFSET, 3527484
1, ML, 19, OFFSET, 1808732
2, ML, 0, OFFSET, 1416026
3, ML, 0, OFFSET, 1225901
4, ML, 397418, OFFSET, 1011148
5, ML, 5075273, OFFSET, 876862
6, ML, 3740533, OFFSET, 784280
7, ML, 3048474, OFFSET, 747036
8, ML, 2512302, OFFSET, 664168
9, ML, 1848965, OFFSET, 615567
10, ML, 1618512, OFFSET, 569118
11, ML, 1276615, OFFSET, 550955
12, ML, 1031128, OFFSET, 485852
13, ML, 1011865, OFFSET, 454788
14, ML, 1161098, OFFSET, 463424
15, ML, 950103, OFFSET, 417871
16, ML, 608682, OFFSET, 392001
17, ML, 566337, OFFSET, 371751
18, ML, 597508, OFFSET, 388401
19, ML, 608343, OFFSET, 338120
20, ML, 647830, OFFSET, 320210
21, ML, 611866, OFFSET, 313890
22, ML, 445954, OFFSET, 327130
23, ML, 349583, OFFSET, 287326
24, ML, 264116, OFFSET, 275384
25, ML, 252306, OFFSET, 283296
26, ML, 275200, OFFSET, 267905
27, ML, 232557, OFFSET, 246393
28, ML, 184655, OFFSET, 239815
29, ML, 190291, OFFSET, 259365
30, ML, 279429, OFFSET, 228389
31, ML, 189752, OFFSET, 217857
32, ML, 131951, OFFSET, 215044
33, ML, 130201, OFFSET, 232142
34, ML, 122303, OFFSET, 201911
35, ML, 100717, OFFSET, 195215
36, ML, 89622, OFFSET, 196316
37, ML, 90302, OFFSET, 204979
38, ML, 95234, OFFSET, 179741
39, ML, 75317, OFFSET, 174679
40, ML, 69092, OFFSET, 193645
41, ML, 94457, OFFSET, 170917
42, ML, 135008, OFFSET, 162776
43, ML, 110507, OFFSET, 160928
44, ML, 82050, OFFSET, 179457
45, ML, 60191, OFFSET, 153448
46, ML, 48546, OFFSET, 150202
47, ML, 38223, OFFSET, 149422
48, ML, 38695, OFFSET, 165723
49, ML, 31614, OFFSET, 140987
50, ML, 36826, OFFSET, 136643
51, ML, 39423, OFFSET, 153413
52, ML, 57791, OFFSET, 140365
53, ML, 54470, OFFSET, 129565
54, ML, 70313, OFFSET, 128171
55, ML, 90683, OFFSET, 144721
56, ML, 119880, OFFSET, 124331
57, ML, 143827, OFFSET, 120015
58, ML, 177714, OFFSET, 119033
59, ML, 159380, OFFSET, 134551
60, ML, 141446, OFFSET, 114756
61, ML, 68865, OFFSET, 111327
62, ML, 42960, OFFSET, 115185
63, ML, 27981, OFFSET, 146747
64, ML, 30479, OFFSET, 127222
65, ML, 32326, OFFSET, 105498
66, ML, 42221, OFFSET, 119008
67, ML, 46514, OFFSET, 105529
68, ML, 59475, OFFSET, 99244
69, ML, 58770, OFFSET, 99476
70, ML, 32723, OFFSET, 114518
71, ML, 15886, OFFSET, 98788
72, ML, 12590, OFFSET, 95287
73, ML, 7928, OFFSET, 96650
74, ML, 8419, OFFSET, 108541
75, ML, 7481, OFFSET, 90658
76, ML, 7608, OFFSET, 90591
77, ML, 7180, OFFSET, 99478
78, ML, 9389, OFFSET, 91968
79, ML, 7453, OFFSET, 87704
80, ML, 8325, OFFSET, 85203
81, ML, 7065, OFFSET, 97284
82, ML, 7335, OFFSET, 84126
83, ML, 5359, OFFSET, 81655
84, ML, 6212, OFFSET, 81335
85, ML, 9389, OFFSET, 92914
86, ML, 15107, OFFSET, 78061
87, ML, 11224, OFFSET, 77453
88, ML, 9707, OFFSET, 80808
89, ML, 6837, OFFSET, 87919
90, ML, 6757, OFFSET, 75792
91, ML, 4102, OFFSET, 74394
92, ML, 3632, OFFSET, 85384
93, ML, 3778, OFFSET, 76186
94, ML, 5565, OFFSET, 71779
95, ML, 4309, OFFSET, 71473
96, ML, 2927, OFFSET, 83150
97, ML, 2945, OFFSET, 69110
98, ML, 2972, OFFSET, 69396
99, ML, 2056, OFFSET, 70012
100, ML, 2000, OFFSET, 77872
101, ML, 2215, OFFSET, 66418
102, ML, 3152, OFFSET, 65205
103, ML, 2498, OFFSET, 73751
104, ML, 2172, OFFSET, 69314
105, ML, 2116, OFFSET, 64128
106, ML, 2386, OFFSET, 62986
107, ML, 2469, OFFSET, 73450
108, ML, 4094, OFFSET, 62531
109, ML, 3758, OFFSET, 60524
110, ML, 4745, OFFSET, 67438
111, ML, 2684, OFFSET, 72488
112, ML, 2012, OFFSET, 69343
113, ML, 1748, OFFSET, 59290
114, ML, 2071, OFFSET, 61767
115, ML, 1299, OFFSET, 65664
116, ML, 1261, OFFSET, 57141
117, ML, 1138, OFFSET, 56712
118, ML, 1395, OFFSET, 66953
119, ML, 1011, OFFSET, 57816
120, ML, 876, OFFSET, 55656
121, ML, 879, OFFSET, 55657
122, ML, 1015, OFFSET, 65528
123, ML, 723, OFFSET, 54688
124, ML, 750, OFFSET, 52720
