0, ML, 34, OFFSET, 1595022
1, ML, 3, OFFSET, 732395
2, ML, 0, OFFSET, 536713
3, ML, 0, OFFSET, 454136
4, ML, 173496, OFFSET, 367102
5, ML, 3583175, OFFSET, 311897
6, ML, 2254643, OFFSET, 278983
7, ML, 1480238, OFFSET, 267937
8, ML, 1177923, OFFSET, 234886
9, ML, 714332, OFFSET, 215916
10, ML, 654233, OFFSET, 199726
11, ML, 459216, OFFSET, 196846
12, ML, 376063, OFFSET, 169152
13, ML, 245883, OFFSET, 158186
14, ML, 344726, OFFSET, 166492
15, ML, 299794, OFFSET, 146035
16, ML, 194722, OFFSET, 136636
17, ML, 142897, OFFSET, 129751
18, ML, 161639, OFFSET, 140941
19, ML, 146426, OFFSET, 118560
20, ML, 158585, OFFSET, 111975
21, ML, 223201, OFFSET, 110193
22, ML, 153723, OFFSET, 119487
23, ML, 134233, OFFSET, 99995
24, ML, 91135, OFFSET, 95712
25, ML, 65281, OFFSET, 101923
26, ML, 72862, OFFSET, 95253
27, ML, 63071, OFFSET, 85663
28, ML, 55614, OFFSET, 83407
29, ML, 43573, OFFSET, 94817
30, ML, 68390, OFFSET, 79555
31, ML, 57715, OFFSET, 75801
32, ML, 42516, OFFSET, 75766
33, ML, 28723, OFFSET, 85497
34, ML, 31499, OFFSET, 70379
35, ML, 28565, OFFSET, 67733
36, ML, 24813, OFFSET, 69015
37, ML, 21152, OFFSET, 74982
38, ML, 24094, OFFSET, 62569
39, ML, 21216, OFFSET, 60474
40, ML, 17612, OFFSET, 71449
41, ML, 19023, OFFSET, 60412
42, ML, 42906, OFFSET, 56870
43, ML, 36310, OFFSET, 56730
44, ML, 24076, OFFSET, 66506
45, ML, 21101, OFFSET, 54001
46, ML, 12720, OFFSET, 52090
47, ML, 10049, OFFSET, 52555
48, ML, 11891, OFFSET, 61827
49, ML, 7539, OFFSET, 49317
50, ML, 13700, OFFSET, 47600
51, ML, 9734, OFFSET, 54804
52, ML, 14668, OFFSET, 55516
53, ML, 10458, OFFSET, 45123
54, ML, 11535, OFFSET, 44735
55, ML, 12205, OFFSET, 54250
56, ML, 16547, OFFSET, 44045
57, ML, 22245, OFFSET, 42429
58, ML, 50201, OFFSET, 41888
59, ML, 26721, OFFSET, 50512
60, ML, 58626, OFFSET, 40435
61, ML, 20756, OFFSET, 38944
62, ML, 15221, OFFSET, 41273
63, ML, 7133, OFFSET, 53620
64, ML, 4666, OFFSET, 47026
65, ML, 6179, OFFSET, 36928
66, ML, 7209, OFFSET, 44950
67, ML, 10899, OFFSET, 37295
68, ML, 7547, OFFSET, 34992
69, ML, 11609, OFFSET, 35246
70, ML, 12165, OFFSET, 43541
71, ML, 4334, OFFSET, 34930
72, ML, 4535, OFFSET, 33750
73, ML, 2015, OFFSET, 34609
74, ML, 2255, OFFSET, 41378
75, ML, 1748, OFFSET, 31994
76, ML, 2267, OFFSET, 31565
77, ML, 1397, OFFSET, 37054
78, ML, 2313, OFFSET, 33539
79, ML, 1816, OFFSET, 32263
80, ML, 2857, OFFSET, 30436
81, ML, 1735, OFFSET, 37402
82, ML, 2946, OFFSET, 30120
83, ML, 1386, OFFSET, 28810
84, ML, 1495, OFFSET, 29304
85, ML, 1052, OFFSET, 35805
86, ML, 2583, OFFSET, 27637
87, ML, 2756, OFFSET, 27236
88, ML, 3115, OFFSET, 29441
89, ML, 2331, OFFSET, 32883
