0, ML, 0, OFFSET, 385611
1, ML, 0, OFFSET, 273538
2, ML, 0, OFFSET, 239647
3, ML, 0, OFFSET, 214676
4, ML, 133183, OFFSET, 193438
5, ML, 97794, OFFSET, 174614
6, ML, 144627, OFFSET, 158764
7, ML, 357262, OFFSET, 149399
8, ML, 290920, OFFSET, 136483
9, ML, 253163, OFFSET, 127210
10, ML, 218407, OFFSET, 117677
11, ML, 187060, OFFSET, 109913
12, ML, 157222, OFFSET, 102541
13, ML, 121533, OFFSET, 95999
14, ML, 146483, OFFSET, 92396
15, ML, 141212, OFFSET, 87956
16, ML, 103869, OFFSET, 85289
17, ML, 92787, OFFSET, 79790
18, ML, 108308, OFFSET, 77711
19, ML, 96960, OFFSET, 71339
20, ML, 131281, OFFSET, 67941
21, ML, 102927, OFFSET, 64819
22, ML, 68112, OFFSET, 61427
23, ML, 72285, OFFSET, 59788
24, ML, 51162, OFFSET, 56201
25, ML, 37146, OFFSET, 53172
26, ML, 45180, OFFSET, 50305
27, ML, 42248, OFFSET, 48743
28, ML, 44024, OFFSET, 45963
29, ML, 25318, OFFSET, 44617
30, ML, 42515, OFFSET, 43057
31, ML, 27281, OFFSET, 40981
32, ML, 25295, OFFSET, 39675
33, ML, 18006, OFFSET, 37470
34, ML, 22220, OFFSET, 36345
35, ML, 18601, OFFSET, 35212
36, ML, 15138, OFFSET, 34222
37, ML, 13094, OFFSET, 32266
38, ML, 17614, OFFSET, 31299
39, ML, 14127, OFFSET, 30018
40, ML, 9947, OFFSET, 29546
41, ML, 15140, OFFSET, 28423
42, ML, 33703, OFFSET, 27561
43, ML, 26622, OFFSET, 26175
44, ML, 13062, OFFSET, 25575
45, ML, 8304, OFFSET, 24397
46, ML, 8311, OFFSET, 23856
47, ML, 6482, OFFSET, 23388
48, ML, 9066, OFFSET, 23554
49, ML, 4944, OFFSET, 21076
50, ML, 10818, OFFSET, 20869
51, ML, 9005, OFFSET, 20461
52, ML, 10590, OFFSET, 19610
53, ML, 8735, OFFSET, 18883
54, ML, 11516, OFFSET, 18993
55, ML, 8503, OFFSET, 18424
56, ML, 10820, OFFSET, 18218
57, ML, 13467, OFFSET, 17147
58, ML, 16936, OFFSET, 16108
59, ML, 28272, OFFSET, 15866
60, ML, 32247, OFFSET, 16001
61, ML, 21923, OFFSET, 14861
62, ML, 8439, OFFSET, 14583
63, ML, 5206, OFFSET, 14516
64, ML, 4598, OFFSET, 14320
65, ML, 4445, OFFSET, 14319
66, ML, 5597, OFFSET, 13110
67, ML, 3788, OFFSET, 12631
68, ML, 5168, OFFSET, 12329
69, ML, 8968, OFFSET, 12223
70, ML, 5082, OFFSET, 11970
71, ML, 3058, OFFSET, 11968
72, ML, 2650, OFFSET, 11308
73, ML, 1191, OFFSET, 11301
74, ML, 1749, OFFSET, 11072
75, ML, 1288, OFFSET, 10015
76, ML, 1241, OFFSET, 10257
77, ML, 844, OFFSET, 10390
78, ML, 1738, OFFSET, 9983
79, ML, 1276, OFFSET, 9284
80, ML, 1957, OFFSET, 9036
81, ML, 1335, OFFSET, 9082
82, ML, 1430, OFFSET, 8848
83, ML, 780, OFFSET, 8540
84, ML, 947, OFFSET, 7889
85, ML, 734, OFFSET, 7864
86, ML, 1908, OFFSET, 7527
87, ML, 2066, OFFSET, 7502
88, ML, 1671, OFFSET, 7420
89, ML, 828, OFFSET, 7479
90, ML, 1403, OFFSET, 7201
91, ML, 842, OFFSET, 7051
92, ML, 479, OFFSET, 6627
93, ML, 467, OFFSET, 8615
94, ML, 1155, OFFSET, 6944
95, ML, 857, OFFSET, 6426
96, ML, 661, OFFSET, 6480
97, ML, 433, OFFSET, 6031
98, ML, 536, OFFSET, 6183
99, ML, 393, OFFSET, 5887
100, ML, 356, OFFSET, 5718
101, ML, 292, OFFSET, 6055
102, ML, 653, OFFSET, 5573
103, ML, 625, OFFSET, 5334
104, ML, 462, OFFSET, 5526
105, ML, 392, OFFSET, 5396
106, ML, 394, OFFSET, 4776
107, ML, 342, OFFSET, 5028
