0, ML, 0, OFFSET, 704128
1, ML, 0, OFFSET, 371534
2, ML, 0, OFFSET, 287598
3, ML, 0, OFFSET, 263313
4, ML, 147507, OFFSET, 214021
5, ML, 1214979, OFFSET, 180169
6, ML, 553635, OFFSET, 164866
7, ML, 414484, OFFSET, 171248
8, ML, 610665, OFFSET, 139795
9, ML, 454066, OFFSET, 128908
10, ML, 386047, OFFSET, 124201
11, ML, 309073, OFFSET, 129914
12, ML, 246599, OFFSET, 104727
13, ML, 179704, OFFSET, 98597
14, ML, 235047, OFFSET, 113096
15, ML, 213048, OFFSET, 95413
16, ML, 139896, OFFSET, 87111
17, ML, 108895, OFFSET, 85112
18, ML, 126405, OFFSET, 100247
19, ML, 116794, OFFSET, 78182
20, ML, 134331, OFFSET, 73418
21, ML, 167936, OFFSET, 73932
22, ML, 103132, OFFSET, 86242
23, ML, 98355, OFFSET, 67377
24, ML, 65006, OFFSET, 64373
25, ML, 45232, OFFSET, 72078
26, ML, 52066, OFFSET, 66825
27, ML, 42454, OFFSET, 58500
28, ML, 37685, OFFSET, 56870
29, ML, 29029, OFFSET, 70281
30, ML, 56754, OFFSET, 55208
31, ML, 40848, OFFSET, 52184
32, ML, 29681, OFFSET, 52464
33, ML, 19084, OFFSET, 64017
34, ML, 22110, OFFSET, 48781
35, ML, 20066, OFFSET, 47248
36, ML, 17509, OFFSET, 49869
37, ML, 14899, OFFSET, 55737
38, ML, 18604, OFFSET, 43978
39, ML, 15783, OFFSET, 43042
40, ML, 12177, OFFSET, 54087
41, ML, 16317, OFFSET, 43785
42, ML, 44564, OFFSET, 40730
43, ML, 34860, OFFSET, 40390
44, ML, 16590, OFFSET, 51007
45, ML, 12412, OFFSET, 38567
46, ML, 9040, OFFSET, 37736
47, ML, 6905, OFFSET, 38323
48, ML, 10133, OFFSET, 47590
49, ML, 5237, OFFSET, 35760
50, ML, 10367, OFFSET, 34836
51, ML, 7788, OFFSET, 43400
52, ML, 12250, OFFSET, 37554
53, ML, 8552, OFFSET, 33190
54, ML, 6397, OFFSET, 33182
55, ML, 8843, OFFSET, 42390
56, ML, 12543, OFFSET, 32814
57, ML, 13444, OFFSET, 31225
58, ML, 24871, OFFSET, 31394
59, ML, 30555, OFFSET, 39818
60, ML, 50955, OFFSET, 30210
61, ML, 31429, OFFSET, 29303
62, ML, 9742, OFFSET, 31370
63, ML, 5352, OFFSET, 39416
64, ML, 3082, OFFSET, 34878
65, ML, 4374, OFFSET, 28173
66, ML, 4390, OFFSET, 35342
67, ML, 4440, OFFSET, 28591
68, ML, 3273, OFFSET, 26633
69, ML, 9089, OFFSET, 26953
70, ML, 5367, OFFSET, 34998
71, ML, 3182, OFFSET, 26608
72, ML, 2744, OFFSET, 25869
73, ML, 1407, OFFSET, 27017
74, ML, 1842, OFFSET, 33359
75, ML, 1222, OFFSET, 24638
76, ML, 1473, OFFSET, 24293
77, ML, 953, OFFSET, 29713
78, ML, 1787, OFFSET, 26483
79, ML, 1394, OFFSET, 25033
80, ML, 2099, OFFSET, 23780
81, ML, 1403, OFFSET, 29853
82, ML, 2007, OFFSET, 23634
83, ML, 894, OFFSET, 22706
84, ML, 851, OFFSET, 22724
85, ML, 792, OFFSET, 28612
86, ML, 2269, OFFSET, 21684
87, ML, 2172, OFFSET, 21265
88, ML, 2033, OFFSET, 23258
89, ML, 1183, OFFSET, 26885
90, ML, 1573, OFFSET, 21463
91, ML, 929, OFFSET, 20887
92, ML, 494, OFFSET, 26294
93, ML, 500, OFFSET, 21175
94, ML, 1286, OFFSET, 20481
95, ML, 879, OFFSET, 20286
96, ML, 842, OFFSET, 25544
97, ML, 456, OFFSET, 19667
98, ML, 624, OFFSET, 20026
99, ML, 432, OFFSET, 20126
100, ML, 497, OFFSET, 24259
101, ML, 278, OFFSET, 19352
102, ML, 653, OFFSET, 18624
103, ML, 578, OFFSET, 22767
104, ML, 637, OFFSET, 20398
105, ML, 374, OFFSET, 18086
106, ML, 470, OFFSET, 18120
107, ML, 414, OFFSET, 23184
108, ML, 417, OFFSET, 18119
109, ML, 587, OFFSET, 17646
110, ML, 964, OFFSET, 20602
111, ML, 744, OFFSET, 22735
112, ML, 527, OFFSET, 23392
113, ML, 340, OFFSET, 17119
114, ML, 459, OFFSET, 18443
115, ML, 282, OFFSET, 20334
116, ML, 345, OFFSET, 16802
117, ML, 223, OFFSET, 16631
118, ML, 307, OFFSET, 20819
119, ML, 265, OFFSET, 17196
120, ML, 314, OFFSET, 16457
121, ML, 170, OFFSET, 16345
122, ML, 311, OFFSET, 20658
123, ML, 175, OFFSET, 15993
124, ML, 198, OFFSET, 15613
125, ML, 233, OFFSET, 16298
126, ML, 275, OFFSET, 19990
127, ML, 318, OFFSET, 18499
128, ML, 720, OFFSET, 20257
129, ML, 297, OFFSET, 18690
130, ML, 566, OFFSET, 16453
131, ML, 699, OFFSET, 15018
132, ML, 516, OFFSET, 15226
133, ML, 399, OFFSET, 18726
134, ML, 512, OFFSET, 15117
135, ML, 195, OFFSET, 14418
136, ML, 245, OFFSET, 14823
137, ML, 150, OFFSET, 18282
138, ML, 472, OFFSET, 14517
139, ML, 269, OFFSET, 14546
140, ML, 732, OFFSET, 15556
141, ML, 196, OFFSET, 16483
142, ML, 372, OFFSET, 14158
143, ML, 163, OFFSET, 14172
144, ML, 208, OFFSET, 17819
145, ML, 109, OFFSET, 14553
146, ML, 322, OFFSET, 13348
147, ML, 123, OFFSET, 13628
148, ML, 117, OFFSET, 16676
149, ML, 157, OFFSET, 13317
150, ML, 251, OFFSET, 13133
151, ML, 138, OFFSET, 13618
152, ML, 221, OFFSET, 16058
153, ML, 214, OFFSET, 13052
154, ML, 447, OFFSET, 13161
155, ML, 225, OFFSET, 15450
156, ML, 128, OFFSET, 13838
157, ML, 96, OFFSET, 12753
158, ML, 182, OFFSET, 13000
159, ML, 186, OFFSET, 15465
160, ML, 468, OFFSET, 13074
161, ML, 90, OFFSET, 12529
162, ML, 230, OFFSET, 12695
163, ML, 181, OFFSET, 15225
164, ML, 99, OFFSET, 12369
165, ML, 96, OFFSET, 12412
166, ML, 167, OFFSET, 14398
